Model,Test_MAE,Test_RMSE,Test_R2,Train_MAE,CV_MAE,Overfit_Gap,Time_sec
SVR_rbf,3.825824716287168,10.105637529768401,0.0628573071695272,4.258508872037179,4.60559788891871,0.4326841557500112,0.026457786560058594
RandomForest_depth7,4.962277432597114,10.123311489069541,0.0595764640816987,4.632415291411141,5.353134885424528,-0.32986214118597257,0.11149764060974121
KNN_10,4.97027027027027,10.6561617754135,-0.04202922545832388,5.15152027027027,5.638176897877795,0.18124999999999947,0.015338897705078125
LightGBM_conservative,5.016129377174936,10.077240913113814,0.06811660775372896,4.2120654781312865,5.550592566488227,-0.8040638990436495,0.05364990234375
RandomForest_depth5,5.094390350723778,10.08259433549166,0.0671262393459987,4.9077756860871515,5.416403606240507,-0.18661466463662624,0.1574716567993164
XGBoost_conservative,5.134694576263428,12.280858002053503,-0.3839987516403198,2.7687182426452637,5.749978065490723,-2.365976333618164,1.9230890274047852
GradientBoosting,5.159232950651539,12.206168571574144,-0.3672156355506917,3.115585792564467,5.902782898350214,-2.043647158087072,0.15030741691589355
ElasticNet,5.338285899539708,10.135870448739361,0.057241641634771856,5.840080317610508,6.056245045969861,0.5017944180708005,0.03545641899108887
KNN_5,5.363513513513513,11.60816348349124,-0.2365318899353155,4.9375,5.8409514314200255,-0.4260135135135128,0.020560503005981445
Lasso_alpha0.1,5.394551645427736,10.139984538614232,0.05647616623034113,5.877740669740566,6.123151843844879,0.4831890243128303,0.03998160362243652
Ridge_alpha10,5.523326920024586,10.492811944205858,-0.010327253528613856,5.961255136769639,6.238281199764553,0.43792821674505245,0.020148038864135742
Ridge_alpha1,5.607222280132052,10.699323637239885,-0.05048761937885038,6.0249198878662575,6.399878734975304,0.4176976077342056,0.020341873168945312
LinearRegression,5.644672754547707,10.758131526100762,-0.06206718030711511,6.0600319691824005,6.478724333952894,0.4153592146346936,0.023190736770629883
LightGBM_aggressive,5.7108282699552415,11.202161651137443,-0.15154777441495781,3.0374667445491728,6.357256901467219,-2.6733615254060688,0.05634427070617676
XGBoost_aggressive,5.927268028259277,15.716041407413359,-1.2665464878082275,0.6537544131278992,6.33085069656372,-5.273513615131378,0.09278178215026855
